"Year","Month","Day","Location","Site","Latitude","Longitude","Depth_m","TimeStart","Sechhi_Horizontal_m","Sechhi_Vertical_m","Protection","Site_ID","Fish_observer","SST","DHW","dist_to_coast"
"2016","July","25","St Maarten","Frenchman Reef",18.01775,-63.09485,"6.7","13:44:00","21",">7.5","NA","2016-Frenchman Reef","TS",28.53,0,711
"2016","July","27","St Maarten","Mikes Mazes",17.9916166666667,-63.05635,"9.1","12:15:00",">30","NA","Marine Park","2016-Mikes Mazes","TS",28.55,0,2139
"2016","July","28","St Maarten","Proselyte Reef",17.9896333333333,-63.05875,"12.8","13:16:00",">30",">9.5","Marine Park","2016-Proselyte Reef","TS",28.51,0,2490
"2016","July","29","St Maarten","Long Bay Reef",18.0427666666667,-63.1421833333333,"14.3","11:23:00","28","NA","NA","2016-Long Bay Reef","TS",28.76,0,1117
"2016","August","8","St Maarten","Shark Hotel",17.9889333333333,-63.0532833333333,"13.7","10:35:00",">30",">15","Marine Park","2016-Shark Hotel","TS",29.07,0,2203
"2016","August","8","St Maarten","Fish Bowl",17.9882333333333,-63.0512166666667,"13.1","12:07:00","32",">15","Marine Park","2016-Fish Bowl","TS",29.07,0,2178
"2016","August","9","St Maarten","Moonscape",18.0163166666667,-63.0937666666667,"10.4","13:20:00","20","7","NA","2016-Moonscape","TS",28.92,0,807
"2017_pre","August","15","St Maarten","Frenchman Reef",18.01775,-63.09485,"7","12:07:00","15",">8","NA","2017_pre-Frenchman Reef","TB",28.96,0,711
"2017_pre","August","23","St Maarten","Shark Hotel",17.9889333333333,-63.0532833333333,"14","11:02:00","35",">15","Marine Park","2017_pre-Shark Hotel","TB",29.02,0,2203
"2017_pre","August","24","St Maarten","Fish Bowl",17.9882333333333,-63.0512166666667,"14","10:55:00","45",">15","Marine Park","2017_pre-Fish Bowl","TB",28.88,0,2178
"2017_pre","August","24","St Maarten","Proselyte Reef",17.9896333333333,-63.05875,"13.7","12:22:00","40",">15","Marine Park","2017_pre-Proselyte Reef","TB",28.88,0,2490
"2017_pre","August","25","St Maarten","Mikes Mazes",17.9916166666667,-63.05635,"10.8","10:05:00","50",">12","Marine Park","2017_pre-Mikes Mazes","TB",28.98,0,2139
"2017_pre","August","31","St Maarten","Long Bay Reef",18.0427666666667,-63.1421833333333,"15.7","13:58:00","31",">16","NA","2017_pre-Long Bay Reef","TB",29.21,0.47,1117
"2017_pre","August","31","St Maarten","Moonscape",18.0163166666667,-63.0937666666667,"10","15:13:00","30",">10","NA","2017_pre-Moonscape","TB",29.23,0.46,807
"2017_post","November","28","St Maarten","Moonscape",18.0163166666667,-63.0937666666667,"10.6","14:15:00","15",">10","NA","2017_post-Moonscape","TB",28.48,0.15,807
"2017_post","November","30","St Maarten","Long Bay Reef",18.0427666666667,-63.1421833333333,"15.9","10:25:00","21",">16","NA","2017_post-Long Bay Reef","TB",28.26,0,1117
"2017_post","December","1","St Maarten","Fish Bowl",17.9882333333333,-63.0512166666667,"14","12:49:00","22",">16","Marine Park","2017_post-Fish Bowl","TB",28.24,0,2178
"2017_post","December","12","St Maarten","Shark Hotel",17.9889333333333,-63.0532833333333,"13.5","09:43:00","20","15","Marine Park","2017_post-Shark Hotel","TB",27.67,0,2203
