Project:;;;;;Analysis date:;;
Dataset name:;;;;;Analysis by:;;
Location:;;Lat:;Long:;;Codefile:;C:\CPCe_41_inst\shallow_coral_codes_41.txt;
File/sheetname:;D:\CPCe Excel Files\POST I 2017\PRE I 2017 PR.xlsx:Data summary;;;;;;
;;;;;;;
TRANSECT NAME;PRE 2017 PR;;;;;;
Number of frames;75;;;;;;
Total points;1875;;;;;;
Total points (minus tape+wand+shadow);1875;;;;;;
MAJOR CATEGORY (% of transect);;;MEAN;STD. DEV.;STD. ERROR;;
CORAL (C);6.88;;6,88;#DIV/0!;#DIV/0!;;
GORGONIANS (G);11.84;;11,84;#DIV/0!;#DIV/0!;;
SPONGES (S);16.85;;16,85;#DIV/0!;#DIV/0!;;
ZOANTHIDS (Z);0.32;;0,32;#DIV/0!;#DIV/0!;;
MACROALGAE (MA);54.72;;54,72;#DIV/0!;#DIV/0!;;
OTHER LIVE (OL);0.48;;0,48;#DIV/0!;#DIV/0!;;
DEAD CORAL WITH ALGAE (DCA);0.05;;0,05;#DIV/0!;#DIV/0!;;
CORALLINE ALGAE (CA);5.33;;5,33;#DIV/0!;#DIV/0!;;
DISEASED CORALS (DC);0;;0;#DIV/0!;#DIV/0!;;
SAND, PAVEMENT, RUBBLE (SPR);3.52;;3,52;#DIV/0!;#DIV/0!;;
UNKNOWNS (U);0;;0;#DIV/0!;#DIV/0!;;
TAPE, WAND, SHADOW (TWS);0;;0;#DIV/0!;#DIV/0!;;
Sum (excluding tape+shadow+wand);100;;;;;;
;;;;;;;
SUBCATEGORIES (% of transect);;;MEAN;STD. DEV.;STD. ERROR;;
CORAL (C);;;;;;;
Acropora cervicornis (AC);0;;0;#DIV/0!;#DIV/0!;;
Acropora palmata (AP);0.05;;0,05;#DIV/0!;#DIV/0!;;
Acropora prolifera (APR);0;;0;#DIV/0!;#DIV/0!;;
Agaricia agaricites (AA);0.27;;0,27;#DIV/0!;#DIV/0!;;
Agaricia fragilis (AF);0;;0;#DIV/0!;#DIV/0!;;
Agaricia grahamae (AG);0;;0;#DIV/0!;#DIV/0!;;
Agaricia lamarcki (AL);0;;0;#DIV/0!;#DIV/0!;;
Agaricia tenuifolia (AT);0;;0;#DIV/0!;#DIV/0!;;
Agaricia undata (AU);0.05;;0,05;#DIV/0!;#DIV/0!;;
Colpophyllia breviserialis (CB);0;;0;#DIV/0!;#DIV/0!;;
Colpophyllia natans (CN);0;;0;#DIV/0!;#DIV/0!;;
Coral (general) (CORAL);0;;0;#DIV/0!;#DIV/0!;;
Coral juvenile (CORJU);0.05;;0,05;#DIV/0!;#DIV/0!;;
Dendrogyra cylindrus (DCY);0.27;;0,27;#DIV/0!;#DIV/0!;;
Dichocoenia stellaris (DST);0;;0;#DIV/0!;#DIV/0!;;
Dichocoenia stokesi (DSO);0;;0;#DIV/0!;#DIV/0!;;
Diploria clivosa (DC);0;;0;#DIV/0!;#DIV/0!;;
Diploria labyrinthiformis (DL);0.16;;0,16;#DIV/0!;#DIV/0!;;
Diploria strigosa (DS);0.32;;0,32;#DIV/0!;#DIV/0!;;
Eusmilia fastigiata (EF);0;;0;#DIV/0!;#DIV/0!;;
Favia fragum (FF);0;;0;#DIV/0!;#DIV/0!;;
Isophyllia sinuosa (IS);0;;0;#DIV/0!;#DIV/0!;;
Leptoseris cucullata (LC);0;;0;#DIV/0!;#DIV/0!;;
Madracis decactis (MD);0.05;;0,05;#DIV/0!;#DIV/0!;;
Madracis mirabilis (MM);0.05;;0,05;#DIV/0!;#DIV/0!;;
