Year;Month;Day;Observer;Location;Site;Transect;DataType;SpeciesCN;SpeciesCode;SpeciesSN;Number;Size_cm ;TP_SIZE;TP_NO
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;banded butterflyfish;CHST;Chaetodon striatus;2;10;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;foureye butterflyfish;CHCA;Chaetodon capistratus;2;5;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;ocean surgeonfish;ACBA;Acanthurus bahianus;2;5;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;ocean surgeonfish;ACBA;Acanthurus bahianus;2;10;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;ocean surgeonfish;ACBA;Acanthurus bahianus;2;15;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;ocean surgeonfish;ACBA;Acanthurus bahianus;3;20;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;blue tang;ACCO;Acanthurus coeruleus;1;5;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;blue tang;ACCO;Acanthurus coeruleus;5;10;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;blue tang;ACCO;Acanthurus coeruleus;2;15;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;blue tang;ACCO;Acanthurus coeruleus;3;20;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;tomtate;HAAU;Haemulon aurolineatum;1;5;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;tomtate;HAAU;Haemulon aurolineatum;2;10;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;tomtate;HAAU;Haemulon aurolineatum;7;15;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;tomtate;HAAU;Haemulon aurolineatum;8;20;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;bicolor damselfish;STPA;Stegastes partitus;25;5;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;yellowtail damselfish;MICH;Microspathodon chrysurus;2;5;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;threespot damselfish;STPL;Stegastes planifrons;1;10;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;brown chromis;CHMU;Chromis multilineata;5;5;;
2016;July;25;TS;St Maarten;Frenchman Reef;1;QUAN;sergeant major;ABSA;Abudefduf saxatilis;2;10;;
