Year;Month;Day;Observer;Location;Site;Transect;Quad;Macro Height (cm);Turf Height (mm)
2016;July;25;MM;St Maarten;Frenchman Reef;1;1;2.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;1;0.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;1;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;1;6;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;2;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;2;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;2;2.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;2;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;3;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;3;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;3;4;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;3;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;4;1.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;4;3;2
2016;July;25;MM;St Maarten;Frenchman Reef;1;4;2;2
2016;July;25;MM;St Maarten;Frenchman Reef;1;4;0.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;5;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;5;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;5;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;1;5;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;1;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;1;2.5;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;1;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;1;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;2;5;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;2;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;2;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;2;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;3;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;3;5;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;3;4;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;3;4;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;4;3;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;4;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;4;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;4;5;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;5;0;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;5;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;2;5;1;2
2016;July;25;MM;St Maarten;Frenchman Reef;2;5;2;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;1;1;0
2016;July;25;MM;St Maarten;Frenchman Reef;3;1;0;2
