Site_ID;Number_frames_bleaching;Number_frames_disease
2016-Frenchman Reef;2;2
2016-Mikes Mazes;2;0
2016-Proselyte Reef;3;2
2016-Long Bay Reef;0;0
2016-Shark Hotel;3;1
2016-Fish Bowl;4;2
2016-Moonscape;0;0
2017_pre-Frenchman Reef;0;0
2017_pre-Shark Hotel;0;1
2017_pre-Fish Bowl;2;1
2017_pre-Proselyte Reef;1;3
2017_pre-Mikes Mazes;8;1
2017_pre-Long Bay Reef;0;0
2017_pre-Moonscape;0;0
2017_post-Moonscape;0;0
2017_post-Long Bay Reef;0;0
2017_post-Fish Bowl;4;0
2017_post-Shark Hotel;0;2
2017_post-Frenchman Reef;0;0
2017_post-Proselyte Reef;3;0
2017_post-Mikes Mazes;5;0
2018-Mikes Mazes;3;1
2018-Moonscape;8;1
2018-Shark Hotel;5;0
2018-Fish Bowl;2;0
2018-Frenchman Reef;3;10
2018-Long Bay Reef;0;0
2018-Proselyte Reef;2;3
2019-Moonscape;0;2
2019-Fish Bowl;2;3
2019-Shark Hotel;0;0
2019-Long Bay Reef;0;1
2019-Frenchman Reef;0;0
2019-Proselyte Reef;;
2019-Mikes Mazes;9;1
2020-Moonscape;2;0
2020-Frenchman Reef;0;0
2020-Mikes Mazes;2;0
2020-Proselyte Reef;1;0
2020-Fish Bowl;1;0
2020-Shark Hotel;0;0
2023-Frenchman Reef;1;0
2023-Long Bay Reef;0;0
2023-Fish Bowl;1;0
2023-Shark Hotel;13;0
2023-Moonscape;3;0
2023-Proselyte Reef;5;0
2023-Mikes Mazes;17;1
