"","Site_ID","Mean_Macroalgae_height","Mean_Turf_height","Year","Site"
"1","2016-Frenchman Reef","2.08 ± 1.329","0.3 ± 1.369","2016","Frenchman Reef"
"2","2016-Mikes Mazes","0.667 ± 0.919","0.633 ± 1.221","2016","Mikes Mazes"
"3","2016-Proselyte Reef","0.658 ± 0.8","2.192 ± 3.796","2016","Proselyte Reef"
"4","2016-Long Bay Reef","1.825 ± 2.064","0.933 ± 2.414","2016","Long Bay Reef"
"5","2016-Shark Hotel","0.667 ± 0.542","1.067 ± 2.246","2016","Shark Hotel"
"6","2016-Fish Bowl","0.392 ± 0.505","0.317 ± 0.854","2016","Fish Bowl"
"7","2016-Moonscape","1.645 ± 1.911","2.475 ± 4.248","2016","Moonscape"
"8","2017_pre-Frenchman Reef","1.375 ± 1.227","0.725 ± 0.472","2017_pre","Frenchman Reef"
"9","2017_pre-Shark Hotel","1.292 ± 1.035","2.917 ± 1.67","2017_pre","Shark Hotel"
"10","2017_pre-Fish Bowl","1.008 ± 0.778","3.267 ± 2.09","2017_pre","Fish Bowl"
"11","2017_pre-Proselyte Reef","0.85 ± 0.685","3.383 ± 2.034","2017_pre","Proselyte Reef"
"12","2017_pre-Mikes Mazes","0.558 ± 0.671","3.5 ± 2.69","2017_pre","Mikes Mazes"
"13","2017_pre-Long Bay Reef","1.95 ± 1.167","6.483 ± 3.685","2017_pre","Long Bay Reef"
"14","2017_pre-Moonscape","2.05 ± 1.068","6.617 ± 2.811","2017_pre","Moonscape"
"15","2017_post-Moonscape","1.425 ± 1.278","3.483 ± 1.761","2017_post","Moonscape"
"16","2017_post-Long Bay Reef","1.942 ± 1.315","5.85 ± 3.041","2017_post","Long Bay Reef"
"17","2017_post-Fish Bowl","0.483 ± 0.537","4.3 ± 2.189","2017_post","Fish Bowl"
"18","2017_post-Shark Hotel","0.275 ± 0.464","4.55 ± 2.213","2017_post","Shark Hotel"
"19","2017_post-Frenchman Reef","2 ± 1.652","8.283 ± 3.415","2017_post","Frenchman Reef"
"20","2017_post-Proselyte Reef","0.258 ± 0.362","3.433 ± 1.533","2017_post","Proselyte Reef"
"21","2017_post-Mikes Mazes","0.15 ± 0.265","3.633 ± 1.594","2017_post","Mikes Mazes"
"22","2018-Mikes Mazes","0.842 ± 0.667","3.35 ± 1.973","2018","Mikes Mazes"
"23","2018-Moonscape","2.283 ± 1.593","7.383 ± 3.4","2018","Moonscape"
"24","2018-Shark Hotel","1.017 ± 0.707","4.283 ± 1.823","2018","Shark Hotel"
"25","2018-Fish Bowl","1.108 ± 0.53","3.983 ± 1.732","2018","Fish Bowl"
"26","2018-Frenchman Reef","2.8 ± 1.176","9.683 ± 3.587","2018","Frenchman Reef"
"27","2018-Long Bay Reef","1.95 ± 0.99","8.833 ± 3.924","2018","Long Bay Reef"
"28","2018-Proselyte Reef","0.917 ± 0.561","5.85 ± 3.267","2018","Proselyte Reef"
"29","2019-Moonscape","2.725 ± 1.394","8.417 ± 2.612","2019","Moonscape"
"30","2019-Fish Bowl","0.945 ± 0.597","6.55 ± 3.165","2019","Fish Bowl"
"31","2019-Shark Hotel","1.1 ± 0.669","4.933 ± 2.517","2019","Shark Hotel"
"32","2019-Long Bay Reef","3.692 ± 1.778","9.383 ± 3.636","2019","Long Bay Reef"
"33","2019-Frenchman Reef","2.283 ± 1.071","7.683 ± 3.442","2019","Frenchman Reef"
"34","2019-Proselyte Reef","1.533 ± 0.712","6.567 ± 3.061","2019","Proselyte Reef"
"35","2019-Mikes Mazes","1.205 ± 0.73","4.733 ± 2.254","2019","Mikes Mazes"
"36","2020-Moonscape","2.367 ± 1.112","7.233 ± 3.702","2020","Moonscape"
"37","2020-Frenchman Reef","1.733 ± 0.936","5.383 ± 2.731","2020","Frenchman Reef"
"38","2020-Mikes Mazes","1.142 ± 0.771","3.9 ± 1.801","2020","Mikes Mazes"
"39","2020-Proselyte Reef","1.267 ± 0.866","5.05 ± 2.062","2020","Proselyte Reef"
"40","2020-Fish Bowl","1.233 ± 0.628","5.35 ± 2.015","2020","Fish Bowl"
"41","2020-Shark Hotel","1.358 ± 0.893","5.95 ± 2.521","2020","Shark Hotel"
"42","2023-Frenchman Reef","2.091 ± 0.83","8.375 ± 4.719","2023","Frenchman Reef"
"43","2023-Long Bay Reef","2.717 ± 1.563","6.7 ± 3.972","2023","Long Bay Reef"
"44","2023-Fish Bowl","2.192 ± 1.03","2.683 ± 1.873","2023","Fish Bowl"
"45","2023-Shark Hotel","2.167 ± 1.092","2.833 ± 2.256","2023","Shark Hotel"
"46","2023-Moonscape","2 ± 1.717","4.967 ± 3.252","2023","Moonscape"
"47","2023-Proselyte Reef","2.013 ± 1.131","6.133 ± 3.496","2023","Proselyte Reef"
"48","2023-Mikes Mazes","1.158 ± 0.722","4.633 ± 2.718","2023","Mikes Mazes"
