"Year","Site","Acanthuridae_Density","Labridae_Density","Lutjanidae_Density","Serranidae_Density","Epinephelidae_Density","Carcharhinidae_Density","Dasyatidae_Density","Scaridae_Density"
"2016","Fish Bowl",0.283333333333333,1.85,0.01,0,0.01,0.00333333333333333,0,0.23
"2016","Frenchman Reef",0.353333333333333,0.993333333333333,0,0,0.16,0,0.00333333333333333,0.0933333333333333
"2016","Long Bay Reef",0.293333333333333,3.26666666666667,0,0.0633333333333333,0.07,0,0,0.08
"2016","Mikes Mazes",0.61,0.776666666666667,0.0133333333333333,0,0.0466666666666667,0,0,0.16
"2016","Moonscape",0.16,2.83,0.07,0.0333333333333333,0.0566666666666667,0,0.00333333333333333,0.0266666666666667
"2016","Proselyte Reef",0,1.47333333333333,0.00333333333333333,0.03,0.01,0,0,0.18
"2016","Shark Hotel",0.166666666666667,1.11666666666667,0.0133333333333333,0,0.03,0.00333333333333333,0,0.12
"2017_post","Fish Bowl",0.0666666666666667,0,0.0733333333333333,0,0,0,0,0.04
"2017_post","Frenchman Reef",0.0566666666666667,0.04,0.396666666666667,0.00333333333333333,0.00333333333333333,0,0,0.0266666666666667
"2017_post","Long Bay Reef",0.0666666666666667,0.00333333333333333,0.02,0,0.0133333333333333,0,0,0.01
"2017_post","Mikes Mazes",0.133333333333333,0.0266666666666667,0.19,0.01,0.09,0,0,0.13
"2017_post","Moonscape",0.14,0.0466666666666667,0.183333333333333,0.01,0.0266666666666667,0,0.00333333333333333,0.06
"2017_post","Proselyte Reef",0.14,0.0466666666666667,0.396666666666667,0,0.0666666666666667,0.00333333333333333,0,0.0566666666666667
"2017_post","Shark Hotel",0.0533333333333333,0,0.103333333333333,0.00333333333333333,0.02,0.00333333333333333,0,0.0466666666666667
"2017_pre","Fish Bowl",0.0366666666666667,0,0.0233333333333333,0.01,0.01,0,0,0.1
"2017_pre","Frenchman Reef",0.04,0.02,0.103333333333333,0,0.0466666666666667,0,0,0.0833333333333333
"2017_pre","Long Bay Reef",0.0566666666666667,0.04,0.133333333333333,0.0366666666666667,0.0333333333333333,0,0,0.04
"2017_pre","Mikes Mazes",0.0333333333333333,0,0.0366666666666667,0.00666666666666667,0.0166666666666667,0.00333333333333333,0,0.0966666666666667
"2017_pre","Moonscape",0.04,0.03,0.35,0.01,0.00666666666666667,0,0,0.0433333333333333
"2017_pre","Proselyte Reef",0.06,0.0666666666666667,0.0466666666666667,0.01,0.03,0.00333333333333333,0,0.113333333333333
