"Site_ID","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonium","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aluterus scriptus","Anisotremus virginicus","Aulostomus maculatus","Azurina cyanea","Azurina multilineata","Balistes vetula","Bodianus rufus","Calamus calamus","Calamus penna","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthigaster rostrata","Caranx bartholomaei","Caranx latus","Caranx ruber","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon capistratus","Chaetodon ocellatus","Chaetodon striatus","Clepticus parrae","Corvula batabana","Coryphopterus dicrus","Diodon hystrix","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus striatus","Equetus punctatus","Eucinostomus gula","Ginglymostoma cirratum","Gramma loreto","Gymnothorax funebris","Gymnothorax moringa","Haemulon aurolineatum","Haemulon carbonarium","Haemulon flavolineatum","Haemulon plumierii","Haemulon sciurus","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres radiatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypanus americanus","Hypoplectrus puella","Kyphosus sectatrix","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus apodus","Lutjanus griseus","Lutjanus mahogoni","Lutjanus synagris","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Mulloidichthys martinicus","Mycteroperca interstitialis","Mycteroperca venenosa","Myripristis jacobus","Ocyurus chrysurus","Opistognathus aurifrons","Pomacanthus arcuatus","Pomacanthus paru","Pseudupeneus maculatus","Pterois volitans","Scarus iseri","Scarus taeniopterus","Scarus vetula","Scorpaena plumieri","Serranus tabacarius","Serranus tigrinus","Serranus tortugarum","Sparisoma aurofrenatum","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Stegastes adustus","Stegastes diencaeus","Stegastes leucostictus","Stegastes partitus","Stegastes planifrons","Stegastes variabilis","Synodus intermedius","Thalassoma bifasciatum","Fish_abundance","Fish_richness","Fish_density","Year","Site"
"2016-Fish Bowl",2,0,0,0,49,0,36,0,0,0,145,165,0,0,0,0,0,1,0,0,0,0,1,1,0,1,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,104,15,0,0,0,154,0,0,1,4,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,11,9,0,0,0,0,38,0,10,0,0,0,0,0,60,0,0,0,401,1230,29,4.1,"2016","Fish Bowl"
"2016-Frenchman Reef",7,0,0,0,66,6,34,2,0,0,0,7,3,2,0,0,2,0,0,2,0,0,0,0,0,48,9,0,4,0,0,0,0,0,0,0,1,0,0,5,0,0,63,0,15,0,0,0,238,0,0,3,23,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,2,3,1,0,0,0,12,3,8,4,0,0,0,0,112,1,0,0,58,759,35,2.53,"2016","Frenchman Reef"
"2016-Long Bay Reef",0,0,1,0,57,10,21,0,0,1,8,55,1,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,2,0,45,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,65,418,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,7,0,0,2,0,0,2,17,0,19,1,2,0,0,0,0,0,362,0,0,0,495,1633,32,5.44333333333333,"2016","Long Bay Reef"
"2016-Mikes Mazes",43,0,3,0,134,7,42,2,0,1,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,4,0,0,86,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,3,0,0,0,0,0,0,3,5,0,0,0,0,31,0,9,0,0,0,0,0,75,0,0,0,147,721,29,2.40333333333333,"2016","Mikes Mazes"
"2016-Moonscape",3,0,1,0,32,9,7,2,0,1,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,85,8,1,4,0,64,240,0,0,3,7,0,1,0,5,0,0,0,0,20,0,0,0,2,0,3,0,0,0,0,1,0,0,0,12,0,0,1,0,0,6,1,3,2,4,1,0,0,0,0,0,110,0,0,0,545,1343,37,4.47666666666667,"2016","Moonscape"
"2016-Proselyte Reef",11,0,1,0,0,2,92,0,0,1,62,25,0,0,0,0,0,0,0,0,0,0,6,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,301,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,18,4,0,3,4,2,20,2,10,0,0,0,0,0,57,0,0,0,141,783,29,2.61,"2016","Proselyte Reef"
"2016-Shark Hotel",12,0,1,0,24,2,24,0,0,4,32,0,0,2,0,0,0,0,0,0,0,0,7,1,0,7,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,9,0,0,1,124,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,22,1,2,0,0,0,0,0,75,0,0,0,208,592,27,1.97333333333333,"2016","Shark Hotel"
"2017_post-Fish Bowl",20,0,0,1,2,0,18,0,0,0,50,150,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,1,2,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,348,19,1.16,"2017_post","Fish Bowl"
"2017_post-Frenchman Reef",5,0,4,3,0,0,17,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41,5,0,0,3,1,1,0,6,3,0,0,0,0,2,1,1,47,0,1,0,0,2,1,0,0,0,0,71,0,0,1,6,0,0,2,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,267,36,0.89,"2017_post","Frenchman Reef"
"2017_post-Long Bay Reef",0,0,0,1,0,0,20,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,120,16,0.4,"2017_post","Long Bay Reef"
"2017_post-Mikes Mazes",7,0,4,0,0,0,40,0,0,0,100,50,3,0,0,1,0,0,0,0,0,0,0,0,9,5,8,4,4,7,0,0,0,1,12,0,0,0,1,0,0,0,0,1,46,3,0,0,1,0,0,0,11,5,0,0,0,0,0,0,0,45,0,0,0,0,2,0,14,0,0,0,12,0,0,0,7,0,0,13,10,0,0,3,0,0,0,16,0,2,0,0,0,3,0,0,0,0,450,34,1.5,"2017_post","Mikes Mazes"
"2017_post-Moonscape",17,0,0,2,0,1,41,0,0,0,22,40,2,1,0,0,0,0,0,0,0,0,0,0,2,5,6,0,14,5,0,0,0,0,0,1,0,0,0,0,0,0,5,0,15,3,0,0,7,0,1,0,15,1,1,0,0,0,0,0,0,22,4,0,0,0,0,0,7,0,0,0,29,0,0,0,16,0,0,2,3,0,0,3,0,0,1,12,0,1,0,0,0,12,0,0,0,1,320,36,1.06666666666667,"2017_post","Moonscape"
"2017_post-Proselyte Reef",166,0,2,1,0,0,42,1,0,0,100,80,1,0,0,0,0,0,0,0,0,40,0,1,5,4,12,4,12,3,0,0,0,2,8,1,0,0,0,0,0,0,0,22,47,1,0,0,9,1,3,0,14,9,0,0,0,0,0,0,0,105,0,0,0,0,0,0,23,0,0,0,14,0,0,2,24,0,0,1,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,777,37,2.59,"2017_post","Proselyte Reef"
"2017_post-Shark Hotel",0,0,0,0,0,1,15,1,0,0,2,30,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,15,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,20,0,0,1,5,0,0,2,2,0,0,1,0,0,0,10,0,3,0,0,0,4,0,0,0,0,146,28,0.486666666666667,"2017_post","Shark Hotel"
