"Year","Site","Herbivorous_Biomass","Invertivorous_Biomass","Omnivorous_Biomass","Piscivorous_Biomass"
"2016","Fish Bowl",3030.03126499,1865.60351728135,522.938358500212,3076.84326296459
"2016","Frenchman Reef",3646.81241363943,4641.74129714501,414.562430892252,1559.70970899668
"2016","Long Bay Reef",2529.66082193936,484.900251686944,961.204291666445,186.965127061564
"2016","Mikes Mazes",6545.4419062344,1144.27565068759,235.121194732001,550.2878400601
"2016","Moonscape",2148.44629379367,2523.6492967436,2189.8317090331,2351.55853756168
"2016","Proselyte Reef",3853.28595639374,330.005907611373,440.797038165085,520.29320283127
"2016","Shark Hotel",1991.65392850794,460.423008867737,237.540149880734,4151.23309514772
"2017_post","Fish Bowl",1218.40916266801,1489.00986357176,0,22629.6594387571
"2017_post","Frenchman Reef",554.035620954857,4999.75608544813,434.433924987344,3213.28255033355
"2017_post","Long Bay Reef",368.801434294305,1205.56491994529,4.10247651079466,434.723558299728
"2017_post","Mikes Mazes",2298.85055216896,4972.05804925073,2181.05778239998,4774.92855109501
"2017_post","Moonscape",1885.00841408062,33839.9925300024,390.891622212959,3034.1404940159
"2017_post","Proselyte Reef",5104.1377906367,7103.8132626085,1085.98351889423,39820.0157399903
"2017_post","Shark Hotel",801.884525961373,1630.37740342962,32.77716703362,20755.1820026335
"2017_pre","Fish Bowl",1169.49010040381,2765.89956502461,1699.3415786629,3591.79000228235
"2017_pre","Frenchman Reef",1316.66755481533,1825.53732156235,285.745611204401,1137.30733162217
"2017_pre","Long Bay Reef",896.344413591904,2649.39852813292,145.376518582648,3415.5357326374
"2017_pre","Mikes Mazes",1795.23678966148,673.756256159956,6.05086290816485,5324.18597609286
"2017_pre","Moonscape",655.547097885025,1413.36230747561,525.204809922185,3189.3495849636
"2017_pre","Proselyte Reef",1457.07355136378,1111.14055341266,966.32493049727,7621.22468782289
"2017_pre","Shark Hotel",492.241267683555,2798.2212276376,171.062194868474,9108.06843159584
"2018","Fish Bowl",1558.14301592869,1313.70686922987,0,78012.3152351056
"2018","Frenchman Reef",1257.43881282669,2099.76617439373,71.7137272047429,2403.7788512259
"2018","Long Bay Reef",3127.5576209124,3614.49918937475,120.220656203125,3878.90070005275
"2018","Mikes Mazes",2961.75145076394,1087.30802422164,479.548691736417,3814.35469953229
"2018","Moonscape",2195.75121786874,2219.80422895202,401.383774715706,7564.12718747926
"2018","Proselyte Reef",3901.83192042469,1757.67914213729,329.438454131288,93655.9691108734
"2018","Shark Hotel",1872.13177635547,1215.31709371373,7357.7530309381,770.618369702269
"2019","Fish Bowl",2870.42521870404,3460.48952483802,1241.9554762092,17230.880004647
"2019","Frenchman Reef",5636.65016942675,3414.55889172839,770.875159027128,16425.3697373638
"2019","Long Bay Reef",3931.74918784757,3271.0295189846,753.14379594322,16761.5575296781
"2019","Mikes Mazes",5060.59226741113,4861.82765315479,1393.20825497182,44340.7454289525
"2019","Moonscape",2792.17715029142,8157.61348672746,1473.31779524813,14635.890667126
"2019","Proselyte Reef",2347.22017969783,3221.75316406788,203.786397741144,11999.9976863407
"2019","Shark Hotel",2967.90627590693,3890.12472302145,4578.96222812815,22792.9527429736
"2020","Fish Bowl",2653.10989885481,1878.08386288347,306.667237550925,2890.24349894859
"2020","Frenchman Reef",4184.39206714022,2719.47913326586,229.289098819948,1146.94580569186
"2020","Mikes Mazes",1660.77227072332,579.731756968307,205.794152158121,853.398299521274
"2020","Moonscape",3038.95737317882,10098.8659423735,7073.54805768898,7174.02554238383
"2020","Proselyte Reef",6936.77673445873,5118.00341410763,10749.2017001613,12373.4244855319
"2020","Shark Hotel",2357.2080380281,1752.61999812393,356.540695499269,11769.6381338673
"2023","Fish Bowl",1937.06766953427,1292.22153106059,512.068692813889,20387.904607075
"2023","Frenchman Reef",3299.88523957556,3700.17368552597,1712.32928983611,92.4658810340305
"2023","Long Bay Reef",2141.23422185405,530.14433282957,205.934376228133,110.870492621958
"2023","Mikes Mazes",3488.53975112576,735.822338874463,341.921636840564,4715.03640099175
"2023","Moonscape",1384.28597567299,8312.76317316223,3245.18457432453,9208.78494479986
"2023","Proselyte Reef",912.86576662603,1448.90501094914,311.533308886298,2214.88913769465
"2023","Shark Hotel",1498.98687178076,1406.53217051263,50.5350992173202,1786.15386896783
