"Site_ID","Mean_Recruit_size","Agaricia","Dendrogyra","Dichocoenia","Eusmilia","Favia","Madracis","Montastraea","Oculina","Orbicella ","Porites","Pseudodiploria","Scolymia","Siderastrea","Stephanocoenia","Recruits_abundance","Recruits_density","Year","Site"
"2016-Frenchman Reef","2.5 ± 1",0,0,0,0,0,0,0,0,1,1,0,0,3,0,5,5.333,"2016","Frenchman Reef"
"2016-Mikes Mazes","2.286 ± 0.859",0,0,0,0,0,1,0,0,0,0,0,0,6,0,7,7.467,"2016","Mikes Mazes"
"2016-Proselyte Reef","1.86 ± 0.822",1,0,0,0,0,0,0,0,0,8,0,0,4,2,15,16,"2016","Proselyte Reef"
"2016-Long Bay Reef","2.578 ± 1.103",0,0,0,0,0,0,0,0,0,2,0,0,6,1,9,9.6,"2016","Long Bay Reef"
"2016-Shark Hotel","1.783 ± 1.087",0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6.4,"2016","Shark Hotel"
"2016-Fish Bowl","2.2 ± 1.025",0,0,0,0,0,0,0,0,0,10,0,0,1,0,11,11.733,"2016","Fish Bowl"
"2016-Moonscape","1.964 ± 0.971",0,0,2,0,0,0,0,1,0,2,0,0,6,0,11,11.733,"2016","Moonscape"
"2017_pre-Frenchman Reef","2.688 ± 0.799",0,0,1,0,0,0,1,0,0,0,0,0,6,0,8,8.533,"2017_pre","Frenchman Reef"
"2017_pre-Shark Hotel","1.712 ± 0.94",0,0,1,0,0,0,0,0,1,14,0,0,10,0,26,27.733,"2017_pre","Shark Hotel"
"2017_pre-Fish Bowl","2.318 ± 1.347",0,0,0,0,2,0,0,0,0,8,0,0,1,0,11,11.733,"2017_pre","Fish Bowl"
"2017_pre-Proselyte Reef","2.75 ± 0.917",3,0,0,0,1,1,0,0,0,1,0,0,4,2,12,12.8,"2017_pre","Proselyte Reef"
"2017_pre-Mikes Mazes","1.769 ± 0.881",0,0,0,0,3,0,0,0,0,9,0,0,1,0,13,13.867,"2017_pre","Mikes Mazes"
"2017_pre-Long Bay Reef","3.062 ± 0.729",1,0,0,0,0,1,0,0,0,4,0,0,2,0,8,8.533,"2017_pre","Long Bay Reef"
"2017_pre-Moonscape","1.917 ± 1.068",0,0,1,0,0,0,0,0,0,3,0,0,2,0,6,6.4,"2017_pre","Moonscape"
"2017_post-Moonscape","2.5 ± 0.548",0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,6.4,"2017_post","Moonscape"
"2017_post-Long Bay Reef","2.15 ± 1.014",0,0,0,3,0,0,0,0,0,8,0,0,9,0,20,21.333,"2017_post","Long Bay Reef"
"2017_post-Fish Bowl","2.269 ± 1.073",1,0,0,0,0,0,0,0,0,10,1,0,1,0,13,13.867,"2017_post","Fish Bowl"
"2017_post-Shark Hotel","1.7 ± 1.069",0,0,0,0,0,0,0,0,1,16,0,0,3,0,20,21.333,"2017_post","Shark Hotel"
"2017_post-Frenchman Reef","2.9 ± 0.81",0,1,1,0,0,0,0,0,0,2,0,0,6,0,10,10.667,"2017_post","Frenchman Reef"
"2017_post-Proselyte Reef","2.083 ± 0.943",1,0,0,0,0,0,0,0,0,13,0,0,4,0,18,19.2,"2017_post","Proselyte Reef"
"2017_post-Mikes Mazes","1.188 ± 0.594",1,0,0,0,0,0,0,0,0,7,0,0,0,0,8,8.533,"2017_post","Mikes Mazes"
"2018-Mikes Mazes","1.178 ± 0.67",2,0,0,0,1,0,0,0,0,5,0,1,0,0,9,9.6,"2018","Mikes Mazes"
"2018-Moonscape","2.122 ± 0.879",0,0,0,0,0,0,0,0,0,5,0,1,3,0,9,9.6,"2018","Moonscape"
"2018-Shark Hotel","0.954 ± 0.422",0,0,2,0,0,0,0,0,0,8,0,0,3,0,13,13.867,"2018","Shark Hotel"
"2018-Fish Bowl","1.833 ± 0.919",1,0,0,0,0,0,0,0,0,13,0,0,1,0,15,16,"2018","Fish Bowl"
"2018-Frenchman Reef","2.25 ± 0.354",0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2.133,"2018","Frenchman Reef"
"2018-Long Bay Reef","2.167 ± 0.866",0,0,0,0,0,0,0,0,0,0,0,0,8,1,9,9.6,"2018","Long Bay Reef"
"2018-Proselyte Reef","2.038 ± 0.962",0,0,1,0,0,0,0,0,0,5,0,0,2,0,8,8.533,"2018","Proselyte Reef"
"2019-Moonscape","2.1 ± 0.876",0,0,0,0,0,0,0,0,0,9,0,0,1,0,10,10.667,"2019","Moonscape"
"2019-Fish Bowl","2.086 ± 0.659",0,0,0,0,0,0,0,0,0,6,0,0,0,1,7,7.467,"2019","Fish Bowl"
"2019-Shark Hotel","1.056 ± 0.464",0,0,0,0,0,0,0,0,0,8,0,0,1,0,9,9.6,"2019","Shark Hotel"
"2019-Long Bay Reef","2.75 ± 0.935",0,0,0,0,0,0,0,0,0,4,1,0,1,0,6,6.4,"2019","Long Bay Reef"
"2019-Frenchman Reef","1.9 ± 1.389",1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3.2,"2019","Frenchman Reef"
"2019-Proselyte Reef","3.38 ± 3.157",1,0,0,0,0,0,0,0,0,8,0,0,1,0,10,10.667,"2019","Proselyte Reef"
"2019-Mikes Mazes","2.556 ± 0.808",2,0,0,0,1,0,0,0,0,5,1,0,0,0,9,9.6,"2019","Mikes Mazes"
"2020-Moonscape","1.545 ± 0.522",0,0,0,0,0,0,0,0,0,9,0,0,2,0,11,11.733,"2020","Moonscape"
"2020-Frenchman Reef","2.333 ± 1.329",2,0,0,0,0,0,0,0,0,2,0,0,2,0,6,6.4,"2020","Frenchman Reef"
"2020-Mikes Mazes","2.071 ± 1.018",0,0,0,0,1,0,0,0,0,3,0,0,3,0,7,7.467,"2020","Mikes Mazes"
"2020-Proselyte Reef","1.917 ± 0.848",3,0,0,0,1,0,0,0,0,8,0,0,0,0,12,12.8,"2020","Proselyte Reef"
"2020-Fish Bowl","1.58 ± 0.838",1,0,0,0,0,0,0,0,0,23,0,0,1,0,25,26.667,"2020","Fish Bowl"
"2020-Shark Hotel","1.682 ± 0.902",0,0,0,0,1,0,0,0,0,10,0,0,0,0,11,11.733,"2020","Shark Hotel"
"2023-Frenchman Reef","1.686 ± 1.144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2023","Frenchman Reef"
"2023-Long Bay Reef","1 ± NA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.067,"2023","Long Bay Reef"
"2023-Fish Bowl","3.75 ± 0.354",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2.133,"2023","Fish Bowl"
"2023-Shark Hotel","2.343 ± 0.85",0,0,0,0,0,0,0,0,0,2,0,0,5,0,7,7.467,"2023","Shark Hotel"
"2023-Moonscape","1.7 ± 0.975",0,0,0,0,0,0,0,0,0,1,0,0,4,0,5,5.333,"2023","Moonscape"
"2023-Proselyte Reef","1 ± NA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.067,"2023","Proselyte Reef"
"2023-Mikes Mazes","1.25 ± 1.037",0,0,0,0,1,0,0,0,0,3,0,0,2,0,6,6.4,"2023","Mikes Mazes"
