"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"4","Model_Fish_abundance_tc_1_lr_0.005_bf_0.5",1,0.005,2125,40.772,109.367,23.363,0.492,0.192,0.5
"11","Model_Fish_abundance_tc_2_lr_0.005_bf_0.5",2,0.005,2125,40.772,109.367,23.363,0.492,0.192,0.5
"18","Model_Fish_abundance_tc_3_lr_0.005_bf_0.5",3,0.005,2125,40.772,109.367,23.363,0.492,0.192,0.5
"25","Model_Fish_abundance_tc_4_lr_0.005_bf_0.5",4,0.005,2125,40.772,109.367,23.363,0.492,0.192,0.5
"32","Model_Fish_abundance_tc_5_lr_0.005_bf_0.5",5,0.005,2125,40.772,109.367,23.363,0.492,0.192,0.5
"2","Model_Fish_abundance_tc_1_lr_0.01_bf_0.5",1,0.01,1100,39.71,110.078,23.21,0.49,0.193,0.5
"9","Model_Fish_abundance_tc_2_lr_0.01_bf_0.5",2,0.01,1100,39.71,110.078,23.21,0.49,0.193,0.5
"16","Model_Fish_abundance_tc_3_lr_0.01_bf_0.5",3,0.01,1100,39.71,110.078,23.21,0.49,0.193,0.5
"23","Model_Fish_abundance_tc_4_lr_0.01_bf_0.5",4,0.01,1100,39.71,110.078,23.21,0.49,0.193,0.5
"30","Model_Fish_abundance_tc_5_lr_0.01_bf_0.5",5,0.01,1100,39.71,110.078,23.21,0.49,0.193,0.5
"6","Model_Fish_abundance_tc_1_lr_0.001_bf_0.5",1,0.001,6650,48.941,113.038,24.49,0.5,0.19,0.5
"13","Model_Fish_abundance_tc_2_lr_0.001_bf_0.5",2,0.001,6650,48.941,113.038,24.49,0.5,0.19,0.5
"20","Model_Fish_abundance_tc_3_lr_0.001_bf_0.5",3,0.001,6650,48.941,113.038,24.49,0.5,0.19,0.5
"27","Model_Fish_abundance_tc_4_lr_0.001_bf_0.5",4,0.001,6650,48.941,113.038,24.49,0.5,0.19,0.5
"34","Model_Fish_abundance_tc_5_lr_0.001_bf_0.5",5,0.001,6650,48.941,113.038,24.49,0.5,0.19,0.5
"7","Model_Fish_abundance_tc_1_lr_0.001_bf_0.75",1,0.001,4150,55.529,116.405,23.464,0.472,0.179,0.75
"14","Model_Fish_abundance_tc_2_lr_0.001_bf_0.75",2,0.001,3250,47.538,121.948,24.559,0.404,0.18,0.75
"21","Model_Fish_abundance_tc_3_lr_0.001_bf_0.75",3,0.001,3250,47.538,121.948,24.559,0.404,0.18,0.75
"28","Model_Fish_abundance_tc_4_lr_0.001_bf_0.75",4,0.001,3250,47.538,121.948,24.559,0.404,0.18,0.75
"35","Model_Fish_abundance_tc_5_lr_0.001_bf_0.75",5,0.001,3250,47.538,121.948,24.559,0.404,0.18,0.75
