"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"18","Model_Fish_biomass_tc_2_lr_0.001_bf_0.75",2,0.001,700,2716.568,3178.068,1205.657,0.205,0.18,0.75
"27","Model_Fish_biomass_tc_3_lr_0.001_bf_0.75",3,0.001,700,2716.568,3178.068,1205.657,0.205,0.18,0.75
"36","Model_Fish_biomass_tc_4_lr_0.001_bf_0.75",4,0.001,700,2716.568,3178.068,1205.657,0.205,0.18,0.75
"45","Model_Fish_biomass_tc_5_lr_0.001_bf_0.75",5,0.001,700,2716.568,3178.068,1205.657,0.205,0.18,0.75
"9","Model_Fish_biomass_tc_1_lr_0.001_bf_0.75",1,0.001,700,2786.837,3181.355,1204.213,0.217,0.179,0.75
"8","Model_Fish_biomass_tc_1_lr_0.001_bf_0.5",1,0.001,700,2855.505,3274.713,1269.404,0.224,0.163,0.5
"17","Model_Fish_biomass_tc_2_lr_0.001_bf_0.5",2,0.001,700,2855.505,3274.713,1269.404,0.224,0.163,0.5
"26","Model_Fish_biomass_tc_3_lr_0.001_bf_0.5",3,0.001,700,2855.505,3274.713,1269.404,0.224,0.163,0.5
"35","Model_Fish_biomass_tc_4_lr_0.001_bf_0.5",4,0.001,700,2855.505,3274.713,1269.404,0.224,0.163,0.5
"44","Model_Fish_biomass_tc_5_lr_0.001_bf_0.5",5,0.001,700,2855.505,3274.713,1269.404,0.224,0.163,0.5
"5","Model_Fish_biomass_tc_1_lr_0.005_bf_0.5",1,0.005,700,2182.7,3381.75,1250.219,0.166,0.177,0.5
"14","Model_Fish_biomass_tc_2_lr_0.005_bf_0.5",2,0.005,700,2182.7,3381.75,1250.219,0.166,0.177,0.5
"23","Model_Fish_biomass_tc_3_lr_0.005_bf_0.5",3,0.005,700,2182.7,3381.75,1250.219,0.166,0.177,0.5
"32","Model_Fish_biomass_tc_4_lr_0.005_bf_0.5",4,0.005,700,2182.7,3381.75,1250.219,0.166,0.177,0.5
"41","Model_Fish_biomass_tc_5_lr_0.005_bf_0.5",5,0.005,700,2182.7,3381.75,1250.219,0.166,0.177,0.5
"6","Model_Fish_biomass_tc_1_lr_0.005_bf_0.75",1,0.005,700,2062.25,3495.234,1182.706,0.115,0.172,0.75
"15","Model_Fish_biomass_tc_2_lr_0.005_bf_0.75",2,0.005,700,1713.158,3566.397,1207.469,0.131,0.176,0.75
"24","Model_Fish_biomass_tc_3_lr_0.005_bf_0.75",3,0.005,700,1713.158,3566.397,1207.469,0.131,0.176,0.75
"33","Model_Fish_biomass_tc_4_lr_0.005_bf_0.75",4,0.005,700,1713.158,3566.397,1207.469,0.131,0.176,0.75
"42","Model_Fish_biomass_tc_5_lr_0.005_bf_0.75",5,0.005,700,1713.158,3566.397,1207.469,0.131,0.176,0.75
"2","Model_Fish_biomass_tc_1_lr_0.01_bf_0.5",1,0.01,700,1783.901,3593.227,1237.138,0.168,0.184,0.5
"11","Model_Fish_biomass_tc_2_lr_0.01_bf_0.5",2,0.01,700,1783.901,3593.227,1237.138,0.168,0.184,0.5
"20","Model_Fish_biomass_tc_3_lr_0.01_bf_0.5",3,0.01,700,1783.901,3593.227,1237.138,0.168,0.184,0.5
"29","Model_Fish_biomass_tc_4_lr_0.01_bf_0.5",4,0.01,700,1783.901,3593.227,1237.138,0.168,0.184,0.5
"38","Model_Fish_biomass_tc_5_lr_0.01_bf_0.5",5,0.01,700,1783.901,3593.227,1237.138,0.168,0.184,0.5
"3","Model_Fish_biomass_tc_1_lr_0.01_bf_0.75",1,0.01,700,1653.031,3921.941,1205.469,0.113,0.179,0.75
"12","Model_Fish_biomass_tc_2_lr_0.01_bf_0.75",2,0.01,700,1116.477,4070.393,1259.942,0.122,0.188,0.75
"21","Model_Fish_biomass_tc_3_lr_0.01_bf_0.75",3,0.01,700,1116.477,4070.393,1259.942,0.122,0.188,0.75
"30","Model_Fish_biomass_tc_4_lr_0.01_bf_0.75",4,0.01,700,1116.477,4070.393,1259.942,0.122,0.188,0.75
"39","Model_Fish_biomass_tc_5_lr_0.01_bf_0.75",5,0.01,700,1116.477,4070.393,1259.942,0.122,0.188,0.75
